trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
79,-1,770,3,0,1,90
80,1,640,3,5,0,100
80,1,640,3,5,1,160
80,1,640,3,5,0,70
80,1,640,3,5,2,310
81,-1,1930,3,2,0,470
81,-1,1930,3,2,1,200
81,-1,1930,3,2,0,70
81,-1,1930,3,2,2,430
81,-1,1930,3,2,0,80
81,-1,1930,3,2,1,680
82,-1,590,3,1,0,300
82,-1,590,3,1,1,170
82,-1,590,3,1,0,70
82,-1,590,3,1,2,50
83,1,3650,3,4,0,220
83,1,3650,3,4,1,300
83,1,3650,3,4,0,70
83,1,3650,3,4,2,580
83,1,3650,3,4,0,80
83,1,3650,3,4,1,1790
83,1,3650,3,4,0,50
83,1,3650,3,4,2,560
84,-1,570,3,0,0,340
84,-1,570,3,0,1,230
85,1,1260,3,2,0,260
85,1,1260,3,2,1,180
85,1,1260,3,2,0,70
85,1,1260,3,2,2,750
86,-1,6320,3,3,0,210
86,-1,6320,3,3,2,230
86,-1,6320,3,3,0,70
86,-1,6320,3,3,1,1460
86,-1,6320,3,3,0,80
86,-1,6320,3,3,2,620
86,-1,6320,3,3,0,50
86,-1,6320,3,3,1,280
86,-1,6320,3,3,0,70
86,-1,6320,3,3,2,330
86,-1,6320,3,3,0,80
86,-1,6320,3,3,1,180
86,-1,6320,3,3,0,100
86,-1,6320,3,3,2,90
86,-1,6320,3,3,0,80
86,-1,6320,3,3,1,560
86,-1,6320,3,3,0,150
86,-1,6320,3,3,2,520
86,-1,6320,3,3,0,60
86,-1,6320,3,3,1,540
86,-1,6320,3,3,0,80
86,-1,6320,3,3,2,480
87,1,2430,3,4,0,270
87,1,2430,3,4,2,340
87,1,2430,3,4,0,70
87,1,2430,3,4,1,390
87,1,2430,3,4,0,80
87,1,2430,3,4,2,1210
87,1,2430,3,4,0,50
87,1,2430,3,4,1,20
88,-1,560,3,0,0,260
88,-1,560,3,0,2,300
89,1,310,3,1,0,310
90,-1,480,3,1,0,220
90,-1,480,3,1,1,250
90,-1,480,3,1,0,10
91,1,1470,3,5,0,200
91,1,1470,3,5,1,760
91,1,1470,3,5,0,70
91,1,1470,3,5,2,440
92,-1,700,3,4,0,250
92,-1,700,3,4,1,440
92,-1,700,3,4,0,10
93,1,1290,3,4,0,240
93,1,1290,3,4,1,190
93,1,1290,3,4,0,70
93,1,1290,3,4,2,790
94,-1,750,3,3,0,680
94,-1,750,3,3,1,70
95,1,920,3,4,0,230
95,1,920,3,4,1,360
95,1,920,3,4,0,70
95,1,920,3,4,2,260
96,1,2050,3,5,0,230
96,1,2050,3,5,1,230
96,1,2050,3,5,0,70
96,1,2050,3,5,2,360
96,1,2050,3,5,0,80
96,1,2050,3,5,1,390
96,1,2050,3,5,0,50
96,1,2050,3,5,2,640
97,1,3030,3,4,0,210
97,1,3030,3,4,2,550
97,1,3030,3,4,0,70
97,1,3030,3,4,1,1080
97,1,3030,3,4,0,80
97,1,3030,3,4,2,440
97,1,3030,3,4,0,50
97,1,3030,3,4,1,240
97,1,3030,3,4,0,70
97,1,3030,3,4,2,240
98,1,3130,3,4,0,280
98,1,3130,3,4,1,170
98,1,3130,3,4,0,70
98,1,3130,3,4,2,460
98,1,3130,3,4,0,80
98,1,3130,3,4,1,980
98,1,3130,3,4,0,50
98,1,3130,3,4,2,1040
99,-1,1360,3,1,0,230
99,-1,1360,3,1,1,120
99,-1,1360,3,1,0,70
99,-1,1360,3,1,2,570
99,-1,1360,3,1,0,80
99,-1,1360,3,1,1,290
100,1,470,3,5,0,220
100,1,470,3,5,2,250
101,-1,1580,3,2,0,250
101,-1,1580,3,2,1,230
101,-1,1580,3,2,0,70
101,-1,1580,3,2,2,680
101,-1,1580,3,2,0,80
101,-1,1580,3,2,1,270
102,1,1830,3,6,0,250
102,1,1830,3,6,2,150
102,1,1830,3,6,0,70
102,1,1830,3,6,1,1000
102,1,1830,3,6,0,80
102,1,1830,3,6,2,280
103,1,1110,3,5,0,240
103,1,1110,3,5,2,300
103,1,1110,3,5,0,70
103,1,1110,3,5,1,500
104,-1,720,3,6,0,230
104,-1,720,3,6,1,340
104,-1,720,3,6,0,70
104,-1,720,3,6,2,80
105,1,2050,3,4,0,250
105,1,2050,3,4,2,270
105,1,2050,3,4,0,70
105,1,2050,3,4,1,160
105,1,2050,3,4,0,80
105,1,2050,3,4,2,520
105,1,2050,3,4,0,50
105,1,2050,3,4,1,650
106,-1,1040,3,0,0,510
106,-1,1040,3,0,2,150
106,-1,1040,3,0,0,70
106,-1,1040,3,0,1,310
107,-1,1940,3,3,0,260
107,-1,1940,3,3,2,350
107,-1,1940,3,3,0,70
107,-1,1940,3,3,1,1260
108,-1,1010,3,1,0,290
108,-1,1010,3,1,2,220
108,-1,1010,3,1,0,70
108,-1,1010,3,1,1,260
108,-1,1010,3,1,0,80
108,-1,1010,3,1,2,90
109,-1,1950,3,4,0,270
109,-1,1950,3,4,1,350
109,-1,1950,3,4,0,70
109,-1,1950,3,4,2,1030
109,-1,1950,3,4,0,80
109,-1,1950,3,4,1,150
110,-1,1480,3,2,0,210
110,-1,1480,3,2,1,240
110,-1,1480,3,2,0,70
110,-1,1480,3,2,2,450
110,-1,1480,3,2,0,80
110,-1,1480,3,2,1,430
111,-1,1160,3,1,0,220
111,-1,1160,3,1,1,160
111,-1,1160,3,1,0,70
111,-1,1160,3,1,2,350
111,-1,1160,3,1,0,80
111,-1,1160,3,1,1,280
112,-1,1780,3,2,0,320
112,-1,1780,3,2,2,1460
113,1,420,3,3,0,170
113,1,420,3,3,2,250
114,1,1350,3,4,0,270
114,1,1350,3,4,1,410
114,1,1350,3,4,0,70
114,1,1350,3,4,2,600
115,-1,620,3,0,0,200
115,-1,620,3,0,1,300
115,-1,620,3,0,0,70
115,-1,620,3,0,2,50
116,-1,1800,3,4,0,190
116,-1,1800,3,4,1,290
116,-1,1800,3,4,0,70
116,-1,1800,3,4,2,370
116,-1,1800,3,4,0,80
116,-1,1800,3,4,1,800
117,1,850,3,0,0,200
117,1,850,3,0,1,360
117,1,850,3,0,0,70
117,1,850,3,0,2,220
118,1,3150,3,5,0,200
118,1,3150,3,5,1,170
118,1,3150,3,5,0,70
118,1,3150,3,5,2,330
118,1,3150,3,5,0,80
118,1,3150,3,5,1,1270
118,1,3150,3,5,0,50
118,1,3150,3,5,2,820
118,1,3150,3,5,0,70
118,1,3150,3,5,1,90
119,1,1600,3,3,0,220
119,1,1600,3,3,1,370
119,1,1600,3,3,0,70
119,1,1600,3,3,2,940
120,-1,750,3,1,0,230
120,-1,750,3,1,1,180
120,-1,750,3,1,0,70
120,-1,750,3,1,2,100
120,-1,750,3,1,0,80
120,-1,750,3,1,1,90
121,-1,1470,3,2,0,230
121,-1,1470,3,2,1,300
121,-1,1470,3,2,0,70
121,-1,1470,3,2,2,630
121,-1,1470,3,2,0,80
121,-1,1470,3,2,1,160
122,1,500,3,5,0,220
122,1,500,3,5,2,280
123,-1,2090,3,0,0,260
123,-1,2090,3,0,2,200
123,-1,2090,3,0,0,70
123,-1,2090,3,0,1,390
123,-1,2090,3,0,0,80
123,-1,2090,3,0,2,760
123,-1,2090,3,0,0,50
123,-1,2090,3,0,1,280
124,-1,870,3,0,0,380
124,-1,870,3,0,1,170
124,-1,870,3,0,0,70
124,-1,870,3,0,2,250
125,1,360,3,4,0,210
125,1,360,3,4,2,140
125,1,360,3,4,0,10
126,1,2290,3,5,0,430
126,1,2290,3,5,2,230
126,1,2290,3,5,0,70
126,1,2290,3,5,1,600
126,1,2290,3,5,0,80
126,1,2290,3,5,2,880
127,-1,950,3,0,0,380
127,-1,950,3,0,1,230
127,-1,950,3,0,0,70
127,-1,950,3,0,2,270
128,1,1730,3,0,0,170
128,1,1730,3,0,1,380
128,1,1730,3,0,0,70
128,1,1730,3,0,2,600
128,1,1730,3,0,0,80
128,1,1730,3,0,1,430
129,-1,450,3,3,0,240
129,-1,450,3,3,1,210
130,-1,330,3,4,0,270
130,-1,330,3,4,1,60
131,1,850,3,4,0,280
131,1,850,3,4,1,170
131,1,850,3,4,0,70
131,1,850,3,4,2,330
132,-1,520,3,2,0,200
132,-1,520,3,2,2,200
132,-1,520,3,2,0,70
132,-1,520,3,2,1,50
133,-1,710,3,2,0,320
133,-1,710,3,2,2,290
133,-1,710,3,2,0,70
133,-1,710,3,2,1,30
134,1,500,3,1,0,210
134,1,500,3,1,2,290
135,1,540,3,4,0,260
135,1,540,3,4,2,280
136,-1,1100,3,2,0,220
136,-1,1100,3,2,1,230
136,-1,1100,3,2,0,70
136,-1,1100,3,2,2,580
137,1,1180,3,3,0,220
137,1,1180,3,3,2,200
137,1,1180,3,3,0,70
137,1,1180,3,3,1,530
137,1,1180,3,3,0,80
137,1,1180,3,3,2,80
138,1,630,3,0,0,270
138,1,630,3,0,2,360
139,1,2380,3,5,0,260
139,1,2380,3,5,2,330
139,1,2380,3,5,0,70
139,1,2380,3,5,1,250
139,1,2380,3,5,0,80
139,1,2380,3,5,2,530
139,1,2380,3,5,0,50
139,1,2380,3,5,1,810
140,-1,620,3,0,0,230
140,-1,620,3,0,1,240
140,-1,620,3,0,0,70
