parcode,trial,fixItem,fixTime,encF,compE
0,455,1,262,1,0
0,455,2,354,1,0
0,455,1,136,1,0
0,460,1,212,1,0
0,460,2,620,1,0
0,460,1,298,1,0
0,460,2,32,1,0
0,461,1,234,1,0
0,461,2,436,1,0
0,461,1,528,1,0
0,462,1,162,1,0
0,462,2,378,1,0
0,462,1,234,1,0
0,464,1,292,1,0
0,464,2,422,1,0
0,464,1,198,1,0
0,465,1,344,1,0
0,465,2,718,1,0
0,466,1,318,1,0
0,466,2,526,1,0
0,466,1,300,1,0
0,468,1,420,1,0
0,468,2,860,1,0
0,468,1,200,1,0
0,469,1,240,1,0
0,469,2,390,1,0
0,470,1,352,1,0
0,470,2,398,1,0
0,470,1,152,1,0
0,471,1,244,1,0
0,471,2,514,1,0
0,472,1,196,1,0
0,472,2,344,1,0
0,472,1,198,1,0
0,480,1,270,1,0
0,480,2,582,1,0
0,481,1,248,1,0
0,481,2,398,1,0
0,481,1,568,1,0
0,482,1,216,1,0
0,482,2,502,1,0
0,484,1,338,1,0
0,484,2,406,1,0
0,484,1,50,1,0
0,490,2,304,1,0
0,490,1,458,1,0
0,490,2,588,1,0
0,490,1,578,1,0
0,492,2,382,0,0
0,492,1,430,0,0
0,493,1,372,0,0
0,493,2,598,0,0
0,494,1,314,0,0
0,494,2,594,0,0
0,497,1,604,0,0
0,497,2,780,0,0
0,499,1,482,0,0
0,499,2,672,0,0
0,499,1,716,0,0
0,501,1,198,0,0
0,501,2,278,0,0
0,502,1,418,0,0
0,502,2,556,0,0
0,502,1,242,0,0
0,503,1,350,0,0
0,503,2,656,0,0
0,505,1,290,0,0
0,505,2,266,0,0
0,507,1,566,0,0
0,507,2,934,0,0
0,508,1,342,0,0
0,508,2,484,0,0
0,508,1,100,0,0
0,511,1,384,0,0
0,511,2,364,0,0
0,512,1,378,0,0
0,512,2,404,0,0
0,512,1,174,0,0
0,513,1,252,0,0
0,513,2,606,0,0
0,514,1,770,0,0
0,514,2,520,0,0
0,514,1,664,0,0
0,515,1,222,0,0
0,515,2,470,0,0
0,516,1,218,0,0
0,516,2,442,0,0
0,516,1,250,0,0
0,516,2,310,0,0
0,517,1,250,0,0
0,517,2,346,0,0
0,519,2,340,1,0
0,519,1,924,1,0
0,520,1,308,1,0
0,520,2,584,1,0
0,522,1,360,1,0
0,522,2,576,1,0
0,522,1,426,1,0
0,524,1,362,1,0
0,524,2,326,1,0
0,524,1,42,1,0
0,525,1,224,1,0
0,525,2,318,1,0
0,526,1,374,1,0
0,526,2,436,1,0
0,527,1,478,1,0
0,527,2,302,1,0
0,528,1,324,1,0
0,528,2,778,1,0
0,529,1,280,1,0
0,529,2,474,1,0
0,529,1,54,1,0
0,532,1,362,1,0
0,532,2,610,1,0
0,533,1,416,1,0
0,533,2,462,1,0
0,535,1,334,1,0
0,535,2,498,1,0
0,537,1,502,1,0
0,538,1,322,1,0
0,538,2,788,1,0
0,538,1,680,1,0
0,538,2,430,1,0
0,541,1,294,1,0
0,541,2,650,1,0
0,541,1,446,1,0
0,541,2,290,1,0
0,542,1,324,1,0
0,542,2,556,1,0
0,544,1,264,1,0
0,544,2,484,1,0
0,545,1,276,1,0
0,545,2,330,1,0
0,546,1,274,1,0
0,546,2,358,1,0
0,546,1,54,1,0
0,548,1,242,1,0
0,548,2,290,1,0
0,549,1,198,1,0
0,549,2,466,1,0
0,549,1,468,1,0
0,549,2,252,1,0
0,550,1,220,1,0
0,550,2,434,1,0
0,550,1,74,1,0
0,551,1,198,1,0
0,551,2,244,1,0
0,553,1,214,1,0
0,553,2,402,1,0
0,553,1,130,1,0
0,554,1,190,1,0
0,554,2,292,1,0
0,554,1,184,1,0
0,558,1,324,1,0
0,558,2,502,1,0
0,559,1,332,1,0
0,559,2,492,1,0
0,560,1,274,1,0
0,560,2,474,1,0
0,560,1,484,1,0
0,561,1,240,1,0
0,561,2,598,1,0
0,562,1,280,1,0
0,562,2,636,1,0
0,563,1,234,1,0
0,563,2,326,1,0
0,563,1,468,1,0
0,564,1,330,1,0
0,564,2,376,1,0
